"CTL"	"dysfunction"
"GBX2"	0	0
"GDF2"	0	0
"GFI1"	0	0
"GFRA1"	0	0
"GFRA2"	0	0
"GFRA3"	0	0
"GGCT"	2	6
"GHR"	0	0
"GHRH"	0	0
"GHRHR"	0	0
"GHRL"	0	0
"GHSR"	0	0
"GID4"	0	1
"GIPC1"	0	0
"GIT2"	0	0
"GKAP1"	0	0
"GLI2"	0	0
"GLI3"	0	0
"GLIS3"	1	0
"GLP1R"	0	0
"GLRB"	0	0
"GLRX2"	0	4
"GMCL1"	1	5
"GMEB2"	0	0
"GMFB"	0	3
"GMIP"	0	0
"GMNN"	0	3
"GMPS"	0	3
"GNA12"	0	0
"GNA13"	0	1
"GNA14"	1	0
"GNA15"	0	0
"GNAI1"	0	0
"GNAI2"	0	0
"GNAI3"	0	2
"GNAS"	0	0
"GNAZ"	0	0
"GNB1"	0	0
"GNB2"	0	0
"GNB3"	0	0
"GNB4"	0	0
"GNG10"	0	0
"GNG11"	0	0
"GNG12"	0	0
"GNG13"	0	0
"GNG2"	0	0
"GNG4"	0	0
"GNG5"	0	0
"GNG7"	0	0
"GNG8"	0	0
"GNGT2"	0	0
"GNL1"	0	0
"GNRHR2"	0	0
"GOLPH3"	0	1
"GOLT1B"	0	0
"GON4L"	0	0
"GPBAR1"	0	0
"GPBP1L1"	1	0
"GPC3"	0	0
"GPHN"	0	0
"GPR132"	0	0
"GPR146"	0	0
"GPR150"	0	0
"GPR160"	3	0
"GPR161"	0	0
"GPR162"	0	0
"GPR17"	0	0
"GPR171"	0	0
"GPR173"	0	0
"GPR174"	0	0
"GPR18"	0	0
"GPR183"	0	0
"GPR19"	0	0
"GPR20"	0	0
"GPR25"	0	0
"GPR31"	0	0
"GPR34"	0	0
"GPR35"	0	0
"GPR39"	2	1
"GPR4"	0	0
"GPR55"	0	0
"GPR65"	0	0
"GPR68"	0	0
"GPR84"	0	0
"GPR85"	0	0
"GPR87"	0	0
"GPRC5A"	1	0
"GPRC5B"	0	0
"GPRC5C"	1	0
"GPSM2"	0	3
"GPSM3"	0	0
"GPX1"	0	0
