"Chen2"	"Lu1"	"Tomida1_a"
"TNFRSF21"	1	1	0
"TNIP2"	0	1	1
"TOLLIP"	0	1	0
"TONSL"	0	3	1
"TOP2A"	7	5	5
"TP53"	1	1	1
"TP63"	1	2	0
"TPD52L1"	1	1	2
"TPM3"	3	0	2
"TPRA1"	0	2	0
"TPTE"	1	0	0
"TRAF2"	0	1	0
"TRAF7"	0	3	0
"TRAIP"	4	4	4
"TRIAP1"	1	2	2
"TRIB3"	2	3	2
"TRIM16"	0	3	0
"TRIM27"	1	0	1
"TRIM28"	2	4	1
"TRIM29"	0	2	0
"TRIP13"	7	7	7
"TRIP6"	0	2	0
"TRPV4"	0	2	0
"TSFM"	1	0	1
"TSPO"	0	1	0
"TTF2"	6	2	5
"TTK"	7	6	7
"TTL"	3	0	1
"TULP3"	0	1	0
"TUSC3"	2	2	1
"TWIST1"	1	1	0
"TXN"	3	2	2
"TXNDC12"	1	0	0
"TXNDC17"	2	2	1
"TXNRD1"	0	1	0
"TYMS"	6	6	5
"U2AF1"	1	0	1
"U2AF2"	1	1	1
"UBE2C"	7	7	7
"UBE2D1"	2	0	0
"UBE2L3"	2	2	2
"UBE2N"	1	0	3
"UBE2V1"	1	1	0
"UHRF1"	5	5	5
"UNC119"	0	1	1
"UTP11"	2	0	2
"VAPB"	1	0	1
"VAX2"	0	1	0
"VCP"	1	1	0
"VDR"	1	1	1
"VEGFA"	0	1	1
"VLDLR"	0	1	1
"VPS25"	2	1	0
"VPS72"	1	0	2
"VSX1"	1	1	1
"WDR12"	7	5	7
"WDR77"	4	3	4
"WNK2"	1	1	1
"WNT5A"	0	1	0
"WSB2"	2	1	1
"WT1"	1	0	0
"WWTR1"	1	1	2
"XPO1"	0	0	2
"XPR1"	0	0	1
"XRCC6"	1	0	0
"XRN2"	1	0	0
"YAF2"	1	0	0
"YBX1"	3	0	2
"YBX2"	1	2	1
"YEATS2"	4	3	3
"YEATS4"	4	1	2
"YWHAB"	1	0	0
"YWHAG"	5	3	2
"YWHAQ"	4	1	4
"YWHAZ"	1	2	1
"YY1"	1	1	0
"ZBED4"	0	0	1
"ZBTB10"	1	0	0
"ZBTB24"	0	0	1
"ZBTB26"	1	1	1
"ZBTB39"	1	1	1
"ZBTB5"	1	0	1
"ZBTB7C"	1	0	1
"ZBTB8OS"	1	1	0
"ZBTB9"	0	0	1
"ZC3H15"	3	2	2
"ZC3H8"	4	2	4
"ZC3HAV1L"	3	1	2
"ZC3HC1"	2	2	2
"ZCCHC7"	1	0	1
"ZCCHC8"	0	0	1
"ZCRB1"	1	0	0
"ZDHHC12"	1	2	0
"ZDHHC18"	1	2	1
"ZDHHC24"	1	1	1
"ZDHHC5"	2	2	2
"ZFAND2A"	2	1	0
"ZFAND3"	4	4	3
"ZFAT"	0	1	0
"ZFP42"	1	0	1
"ZFP64"	3	4	3
"ZFP69B"	2	0	3
"ZFPL1"	0	3	0
"ZIC2"	3	3	2
"ZIC5"	1	1	1
"ZKSCAN5"	2	1	2
"ZMYM4"	1	1	1
"ZMYND19"	2	3	2
"ZNF131"	1	1	1
