"EMT"	"signature"
"TRIB2"	3	2
"TRIM55"	1	0
"TRIP10"	1	1
"TRIP6"	1	0
"TRPS1"	3	1
"TSC22D1"	1	0
"TSC22D2"	1	0
"TSC22D3"	1	1
"TSHZ2"	4	1
"TSHZ3"	5	4
"TTL"	1	1
"TWIST1"	5	4
"TWIST2"	4	3
"TYRO3"	1	1
"UACA"	0	2
"UBASH3A"	0	1
"UNC5A"	2	1
"UNC5B"	7	5
"UNC5C"	4	3
"VAPA"	0	1
"VAV3"	2	1
"VDR"	3	2
"VGLL3"	4	4
"VGLL4"	1	0
"VIPR1"	0	1
"VOPP1"	4	3
"WFS1"	0	2
"WISP1"	6	3
"WISP2"	2	4
"WLS"	0	1
"WNT2"	4	5
"WT1"	5	2
"WWTR1"	2	1
"YPEL5"	0	1
"YWHAG"	1	0
"YWHAH"	1	0
"ZAP70"	0	1
"ZBTB18"	0	1
"ZBTB47"	2	4
"ZC4H2"	0	1
"ZCCHC24"	6	6
"ZDHHC14"	0	2
"ZDHHC3"	0	1
"ZEB1"	3	3
"ZEB2"	3	4
"ZFP36L1"	1	1
"ZFP36L2"	2	1
"ZFP37"	1	1
"ZFP92"	0	1
"ZFPM2"	7	6
"ZHX3"	1	2
"ZMAT3"	1	0
"ZMIZ1"	2	1
"ZNF134"	1	0
"ZNF208"	1	0
"ZNF25"	0	2
"ZNF267"	1	0
"ZNF365"	6	4
"ZNF382"	0	1
"ZNF385D"	1	3
"ZNF423"	6	7
"ZNF426"	0	1
"ZNF430"	1	0
"ZNF436"	2	1
"ZNF469"	5	3
"ZNF521"	5	3
"ZNF532"	3	1
"ZNF583"	1	0
"ZNF638"	0	1
"ZNF667"	1	0
"ZNF677"	1	1
"ZNF697"	2	2
"ZNF70"	0	1
"ZNF703"	1	0
"ZNF831"	0	1
"ZNF853"	2	2
"ZSWIM6"	2	1
"ZYX"	5	5
"ADGRB3"	0	1
"ADRB2"	0	1
"AGER"	0	1
"APH1B"	0	1
"ARHGAP18"	0	1
"ARHGEF17"	0	1
"ARRDC2"	0	1
"BMP2"	0	1
"BMP6"	0	1
"CALCOCO1"	0	1
"CAPN3"	0	1
"CBX7"	0	1
"CD101"	0	1
"CD22"	0	1
"CD70"	0	1
"CD8B"	0	1
"CNBP"	0	1
"CNTN6"	0	1
"CREBRF"	0	1
"CUL3"	0	1
"DAB2IP"	0	1
"DMD"	0	1
"DNASE1L3"	0	1
"EDNRB"	0	1
"EIF4EBP2"	0	1
"ERF"	0	1
"ETS2"	0	1
"FHL5"	0	1
"FOXP1"	0	1
"FRY"	0	1
"GFRA1"	0	1
"GNG7"	0	1
"GPR146"	0	1
"GPSM1"	0	3
"GRASP"	0	1
"GRIA1"	0	1
"GUCY1A2"	0	1
"IL11RA"	0	1
"KLRF1"	0	1
"LRRN3"	0	1
"MAP3K3"	0	3
"MAPK10"	0	1
"MEIS2"	0	1
"MYOCD"	0	1
"NCOA1"	0	1
"NFATC4"	0	1
