"Chen2"	"Lu1"	"Tomida1_a"
"PCGF5"	1	1	1
"PCM1"	1	2	2
"PCSK9"	1	0	0
"PDE1A"	2	1	3
"PDE2A"	4	2	3
"PDE4A"	4	0	3
"PDE4C"	1	1	1
"PDE4D"	0	1	1
"PDE4DIP"	1	0	0
"PDE5A"	4	4	5
"PDE7B"	1	0	1
"PDE8A"	1	0	0
"PDE8B"	3	1	3
"PDE9A"	2	0	0
"PDGFB"	1	0	0
"PDK2"	1	1	1
"PDK4"	2	2	2
"PDLIM1"	1	2	3
"PECAM1"	2	2	5
"PEG10"	1	0	0
"PEG3"	2	1	3
"PER2"	2	1	1
"PER3"	2	4	3
"PEX11B"	1	0	1
"PGR"	5	5	5
"PGRMC2"	3	2	1
"PHF1"	1	0	0
"PHF10"	1	1	1
"PHF2"	3	1	1
"PHF20"	0	1	0
"PHLDA3"	1	0	1
"PIAS1"	2	5	2
"PIAS2"	0	1	0
"PIK3C2B"	1	1	3
"PIK3C3"	1	0	1
"PIK3CA"	1	1	1
"PIK3CG"	1	1	0
"PIK3R1"	4	5	3
"PINK1"	2	1	2
"PKD2"	0	1	1
"PKIG"	1	0	1
"PKNOX2"	4	3	6
"PLA2G1B"	6	7	6
"PLA2G4C"	1	1	2
"PLAGL1"	1	1	1
"PLCB2"	3	0	1
"PLCD1"	2	0	1
"PLCE1"	2	2	2
"PLCG2"	0	1	0
"PLCH1"	2	3	2
"PLCH2"	1	0	0
"PLCL1"	3	3	1
"PLCL2"	0	3	1
"PLCXD3"	1	1	1
"PLEKHB1"	0	2	0
"PLEKHM1"	2	1	1
"PLEKHM1P1"	1	0	0
"PLP1"	1	1	1
"PLPP1"	2	0	1
"PLPP3"	2	2	1
"PLXNA2"	4	2	3
"PLXND1"	4	2	3
"PMEPA1"	0	1	1
"PNRC1"	1	1	2
"POU2F3"	2	2	2
"POU5F1"	1	0	0
"POU5F1B"	1	0	0
"POU6F1"	4	2	2
"PPARG"	1	1	1
"PPM1A"	2	1	2
"PPP1CB"	1	0	1
"PPP1R12B"	4	4	4
"PPP1R16B"	1	0	0
"PPP1R1B"	2	1	3
"PPP2CA"	0	2	0
"PPP2CB"	0	2	2
"PPP2R5A"	2	5	2
"PRAM1"	1	2	2
"PRDM16"	4	4	4
"PRDM2"	1	0	0
"PRDM5"	3	3	4
"PRDM6"	5	4	5
"PREX2"	5	4	5
"PRKCA"	2	1	0
"PRKCB"	1	1	0
"PRKCD"	1	2	1
"PRKCE"	4	4	4
"PRKCH"	0	0	1
"PRKCQ"	1	1	1
"PRKCZ"	2	1	2
"PRKD1"	1	1	1
"PRKG1"	1	0	0
"PRMT2"	2	3	1
"PRSS8"	1	0	1
"PSIP1"	1	1	0
"PTCH1"	3	2	1
"PTEN"	2	2	2
"PTGER1"	2	0	1
"PTGER2"	1	3	2
"PTGER4"	1	2	2
"PTGFR"	0	0	1
"PTGIR"	1	0	2
"PTH1R"	4	0	4
"PTK2B"	0	0	1
"PTN"	1	1	2
"PTPN22"	1	1	1
"PTPRB"	6	4	7
"PTPRD"	1	0	1
"PTPRE"	1	4	4
"PTPRG"	2	3	2
"PTPRM"	5	5	5
"PTPRN2"	3	2	5
"PTPRS"	1	1	1
"PTPRU"	2	0	1
"PTPRZ1"	0	0	1
"PURA"	1	3	0
"QKI"	1	1	1
"RAB11A"	2	2	2
"RAB14"	2	1	1
"RAB17"	1	1	1
"RAB20"	1	1	1
"RAB23"	2	1	0
"RAB27A"	2	4	1
"RAB27B"	1	0	1
"RAB36"	0	1	0
"RAB37"	2	0	1
"RAB9B"	3	2	3
"RABGAP1L"	0	2	1
"RAD50"	1	1	0
"RALGAPA2"	0	2	1
"RALGPS1"	1	0	0
"RAMP1"	1	0	0
"RAMP2"	2	1	3
"RAMP3"	3	1	6
"RANBP2"	1	0	1
"RAP1A"	3	4	3
"RAP1GAP"	2	1	2
"RAPGEF2"	1	0	0
"RAPGEF3"	4	1	3
"RAPGEF4"	1	1	0
"RAPGEF5"	1	4	2
"RAPGEF6"	0	1	0
"RAPH1"	0	2	0
"RARA"	1	0	3
"RASAL2"	1	0	0
"RASGRF1"	6	5	6
"RASGRP1"	0	2	0
"RASGRP2"	3	0	2
"RASGRP3"	1	2	0
"RASGRP4"	1	1	1
"RASIP1"	2	1	2
"RASL11A"	1	1	1
"RASL11B"	1	0	0
"RASL12"	7	3	7
"RASSF2"	2	4	5
"RASSF3"	1	2	1
"RASSF7"	2	0	2
"RASSF8"	1	2	1
"RASSF9"	1	0	1
"RBL2"	1	2	1
"RBPMS"	5	4	6
"RBSN"	2	2	0
"RC3H1"	1	1	1
"RCAN1"	0	0	1
"RCAN2"	5	6	6
"REPS2"	4	4	3
"RERE"	2	0	1
"RERG"	4	4	4
"RET"	1	0	0
"RFX2"	2	1	1
"RFX5"	0	2	0
"RFXAP"	1	0	0
"RGL1"	6	6	6
"RGL2"	2	0	1
"RGL3"	0	0	1
"RGMA"	1	1	0
"RGMB"	1	1	1
"RGN"	5	6	6
"RGS11"	1	0	0
"RGS12"	1	0	0
"RGS13"	4	4	5
"RGS16"	0	0	1
"RGS22"	0	0	2
"RGS3"	3	1	6
"RGS5"	1	2	1
"RGS7"	1	0	0
"RGS7BP"	1	1	1
"RHOB"	1	1	3
"RHOBTB1"	1	2	1
"RHOBTB2"	6	5	5
"RHOF"	2	0	0
"RHOJ"	3	2	5
"RHOU"	1	2	0
"RIN2"	1	1	2
"RIN3"	1	0	2
"RIPK3"	1	0	1
"RND1"	2	1	2
"RNF10"	2	1	1
"ROBO2"	5	5	5
"ROR1"	3	4	4
"RORA"	4	4	3
"RORC"	3	1	1
"ROS1"	4	6	5
"RPH3AL"	2	1	2
"RPL22"	1	1	0
"RPS27L"	1	1	0
"RPS6KA1"	2	2	3
"RPS6KA2"	5	5	7
"RPS6KA3"	0	3	0
"RPS6KA5"	0	1	1
"RRAD"	5	4	6
"RRAS"	1	0	1
"RSPO1"	1	1	1
"RSU1"	2	2	2
"RTKN2"	1	1	2
"RTN1"	1	2	1
"RUNX1T1"	4	0	2
"RXFP1"	1	1	2
"RXRA"	3	1	0
"RXRG"	1	1	1
"RYBP"	0	1	0
"S100A1"	1	1	0
"S1PR1"	5	2	7
"S1PR2"	0	0	1
"S1PR4"	1	1	1
"SAP18"	3	3	2
"SAP30L"	3	5	3
"SARM1"	3	1	1
"SATB1"	2	4	2
"SCAI"	1	1	1
"SCARF1"	4	5	5
"SCGB1A1"	2	1	4
"SCMH1"	2	0	0
"SCML1"	1	1	0
"SCTR"	6	5	6
"SDCBP"	1	2	1
"SEMA6A"	1	1	1
"SERP2"	1	1	0
"SETBP1"	2	2	2
"SETD3"	0	1	1
"SETD7"	0	2	0
"SF1"	0	1	0
"SF3B1"	1	0	1
"SGF29"	1	0	0
"SGSM1"	1	1	1
"SGSM2"	1	1	0
"SH2B1"	1	0	0
"SH2B3"	0	0	1
"SH2D3A"	1	0	0
"SH2D3C"	2	1	4
"SH3BP5"	0	1	1
"SH3RF1"	1	1	1
"SHANK2"	2	2	1
"SHC2"	1	0	1
"SHC3"	4	3	3
"SHH"	1	0	0
"SIGIRR"	1	0	0
"SIGLEC8"	0	1	1
"SIK2"	2	2	2
"SIRPB1"	1	1	1
"SIRT2"	1	1	1
"SIRT3"	0	1	0
"SKAP1"	0	1	1
"SKI"	1	0	1
"SLC44A2"	1	1	1
"SLC9A1"	0	1	1
"SLIT2"	5	3	5
"SLK"	3	1	2
"SMAD6"	4	3	5
"SMAD7"	3	2	4
"SMAD9"	1	1	1
"SMARCA2"	2	3	3
"SMARCA5"	2	3	2
"SMARCD3"	5	2	3
"SMARCE1"	1	0	1
"SMPD1"	4	3	3
"SMURF2"	0	1	0
"SNCA"	0	1	0
"SNX29"	1	0	1
"SORBS1"	7	7	7
"SORBS3"	1	0	1
"SORT1"	2	4	4
"SOX13"	1	2	1
"SOX17"	2	1	6
"SOX18"	1	0	1
"SOX7"	3	1	4
"SOX8"	2	1	1
"SPARCL1"	6	6	6
"SPATA13"	1	2	1
"SPDEF"	2	1	1
"SPIB"	1	0	1
"SPN"	0	1	1
"SPOCK2"	2	2	3
"SPRED2"	1	1	0
"SPRY1"	5	5	6
"SPRY2"	2	2	1
"SPRY4"	2	3	4
"SPSB2"	1	0	0
"SPSB3"	1	0	0
"SPTBN1"	1	1	2
"SRGAP3"	2	1	1
"SRI"	1	3	1
"SSBP2"	2	3	3
"SSBP3"	1	0	1
"SSTR1"	1	1	2
"STAC"	3	1	3
"STAC2"	0	0	1
"STAP1"	1	1	1
